bin	group	depth	enzyme	abundance
OSU_NS06	Group3c	500.0	dehydrogenases	1.57959
OSU_NS07	Group1a	10900.0	dehydrogenases	1.70648
OSU_NS08	Group3c	754.0	dehydrogenases	0.519211
OSU_NS09	Group5	505.0	dehydrogenases	0.205128
OSU_NS10	Group2	505.0	dehydrogenases	2.46637
OSU_TB01	Group1a	115.0	dehydrogenases	2.00105
OSU_TB02	Group3b	115.0	dehydrogenases	1.15924
OSU_TB04	Group4	155.0	dehydrogenases	1.03011
OSU_TB05	Group1a	250.0	dehydrogenases	2.44309
OSU_TB06	Group2	250.0	dehydrogenases	2.82852
OSU_TB07	Group3a	250.0	dehydrogenases	1.52926
OSU_TB08	Group5	250.0	dehydrogenases	1.65184
OSU_TB09	Group3a	800.0	dehydrogenases	1.88679
OSU_TB10	Group2	790.0	dehydrogenases	1.90959
OSU_TB11	Group5	790.0	dehydrogenases	1.16279
OSU_TB12	Group2	790.0	dehydrogenases	1.71254
OSU_TB13	Group3a	1000.0	dehydrogenases	1.77491
OSU_TB14	Group3a	850.0	dehydrogenases	1.94508
OSU_TB15	Group2	270.0	dehydrogenases	1.53203
OSU_TB16	Group3b	120.0	dehydrogenases	1.24708
OSU_TB17	Group3a	640.0	dehydrogenases	1.88679
OSU_TB18	Group4	80.0	dehydrogenases	1.09748
OSU_TB19	Group3b	80.0	dehydrogenases	1.20739
OSU_TB20	Group1b	80.0	dehydrogenases	1.60128
OSU_TB21	Group2	600.0	dehydrogenases	1.43138
OSU_TB22	Group3a	600.0	dehydrogenases	1.86294
OSU_TB23	Group1a	600.0	dehydrogenases	1.44695
OSU_TB24	Group3a	696.0	dehydrogenases	1.91257
OSU_TB25	Group3a	696.0	dehydrogenases	1.83682
OSU_TB26	Group2	696.0	dehydrogenases	2.43902
OSU_TB27	Group2	696.0	dehydrogenases	2.90934
OSU_TB28	Group3a	488.0	dehydrogenases	1.61024
OSU_TB29	Group3a	350.0	dehydrogenases	1.89432
OSU_TB30	Group2	350.0	dehydrogenases	1.55039
OSU_TB31	Group3b	120.0	dehydrogenases	1.15207
OSU_TB32	Group1b	50.0	dehydrogenases	1.55521
OSU_TB33	Group1a	80.0	dehydrogenases	2.08927
OSU_TB34	Group1c	80.0	dehydrogenases	2.01884
OSU_TB35	Group2	80.0	dehydrogenases	3.0303
OSU_TB36	Group2	80.0	dehydrogenases	1.2931
OSU_TB38	Group3a	60.0	dehydrogenases	1.47119
OSU_TB39	Group2	60.0	dehydrogenases	1.63848
OSU_TB40	Group1a	60.0	dehydrogenases	1.4661
OSU_TB42	Group3b	60.0	dehydrogenases	1.2605
OSU_TB43	Group1b	60.0	dehydrogenases	1.59363
OSU_TB44	Group1a	650.0	dehydrogenases	1.45594
OSU_TB45	Group3b	150.0	dehydrogenases	1.13136
OSU_TB46	Group4	150.0	dehydrogenases	1.45985
OSU_TB47	Group3a	800.0	dehydrogenases	1.63488
OSU_TB48	Group3a	790.0	dehydrogenases	1.80067
OSU_TB49	Group1b	80.0	dehydrogenases	1.93798
OSU_TB50	Group1b	5.0	dehydrogenases	2.22222
OSU_TB51	Group2	150.0	dehydrogenases	2.32036
OSU_TB52	Group3a	800.0	dehydrogenases	2.11538
OSU_TB53	Group5	140.0	dehydrogenases	1.33958
OSU_TB54	Group3b	140.0	dehydrogenases	1.27261
OSU_TB55	Group5	140.0	dehydrogenases	0.438917
OSU_TB56	Group2	140.0	dehydrogenases	1.22231
OSU_TB57	Group5	140.0	dehydrogenases	0.588668
OSU_TB58	Group1b	140.0	dehydrogenases	1.67926
OSU_TB59	Group3a	140.0	dehydrogenases	1.67707
OSU_TB60	Group1b	150.0	dehydrogenases	1.66806
OSU_TB61	Group3a	1000.0	dehydrogenases	1.62027
